,SHOP_JUL,PAY_JUL,SHOP_AUG,PAY_AUG,SHOP_SEP,PAY_SEP,SHOP_OCT,PAY_OCT,SHOP_NOV,PAY_NOV,SHOP_DEC,PAY_DEC,AGE,SEX_F,SEX_M,EDUCATION_graduate school,EDUCATION_high school,EDUCATION_university,MARRIAGE_married,MARRIAGE_single
18897715,14.859407372,2,8.00816392637,0,4.44108142638,0,5.09795687737,0,5.13138704772,0,5.07992103903,0,3.39121144301,0,1,0,1,0,1,0
12696362,10.5194560252,0,8.12936086583,0,7.10788525514,0,7.2584937124,-1,13.7392991184,-1,5.39091370904,-1,3.73251115682,1,0,1,0,0,1,0
40407190,8.69916802543,2,2.46437075224,2,2.42445487729,2,2.14060616945,2,2.64830188111,2,2.62254690858,2,2.97049771061,1,0,0,0,1,1,0
19419760,12.2192191297,2,3.26738336813,2,3.05142318245,2,3.59622072527,-1,12.8985855229,2,3.7927583135,2,2.88449914061,1,0,0,0,1,0,1
35978526,17.646012608,2,8.11474807703,0,4.3895963466,0,4.02550694077,0,4.7628569284,0,4.6585139889,0,3.82586236554,1,0,0,0,1,1,0
48361974,7.79242989844,0,1.90257652296,0,1.82833635022,2,2.43790566503,0,1.68336438418,0,1.54207860093,0,3.10723250595,1,0,1,0,0,0,1
27564131,6.58258887482,0,2.13407989062,0,2.05714903952,-1,4.59491331862,-1,7.22799707301,0,4.14633765249,0,3.07231682569,1,0,1,0,0,0,1
45489390,13.1532981438,0,3.45637931918,0,2.98152688895,0,7.78128496409,0,7.59465935965,0,6.07766091203,0,3.07231682569,0,1,0,0,1,0,1
34687322,2.70108733526,0,9.23886962616,0,10.6402890654,-1,14.4087604182,0,3.6145690976,0,6.10418019486,0,3.53034833533,1,0,0,0,1,0,1
49190836,13.6157906114,0,9.65600614762,0,9.15213442079,0,9.30005367834,0,5.53671116164,0,10.1735909774,0,3.50339806039,1,0,0,0,1,0,1
34005488,0.0,-2,0.0,-2,0.0,-1,4.35581288675,-1,10.2378985639,-1,2.3404226475,-1,3.10723250595,1,0,1,0,0,0,1
58996480,-3.57224005021,-1,2.90112276779,2,3.08101970509,0,2.02130288786,0,3.42277933732,0,3.34377709838,0,3.47602664489,1,0,0,1,0,1,0
41269151,7.99543676427,0,3.60618260642,0,2.61530226695,0,2.81724896442,0,3.64997139153,2,2.62543358885,1,3.58304787102,1,0,0,1,0,0,1
54925120,17.7535490713,0,6.66570657418,0,7.81641429071,0,10.9324807526,0,5.06446988985,0,5.6172285318,0,3.03658897188,1,0,1,0,0,0,1
56423387,5.97921989205,-1,6.02172500538,-1,4.7079028052,-1,5.66500912135,-1,0.0,-1,3.4379806293,-1,3.70842976927,1,0,1,0,0,1,0
30681904,0.0,-2,0.0,-2,0.0,0,13.4652709622,0,13.6257538977,0,5.28915424174,2,3.17480210394,0,1,0,0,1,0,1
10872689,11.0494620678,2,2.76234520266,2,3.13148653305,2,3.12844329154,2,3.08937220832,2,3.09145330198,2,3.20753433,1,0,1,0,0,1,0
52211921,7.78555002991,0,7.94616496543,0,9.46098610597,0,7.8779023873,0,3.3159931642,0,3.7501394437,0,3.2831717382,0,1,0,0,1,0,1
23909810,10.9634903442,0,3.79827708137,0,2.73339038581,0,2.64688415083,0,2.47252557922,0,2.08266307071,-1,3.03658897188,0,1,1,0,0,0,1
52207017,9.69009957358,0,11.0466938615,0,8.82051620531,0,10.7790910855,0,11.3487220747,0,10.8236399791,0,3.23961180128,1,0,0,0,1,0,1
10985930,8.15902704502,2,3.20571984808,2,2.00906709841,2,2.63548731666,2,2.58591436064,2,2.58888326607,1,3.65930571002,0,1,0,0,1,1,0
50206169,12.0337815106,0,3.22303277658,0,3.59852452395,0,5.87800141673,0,9.10526745717,2,10.900123362,1,3.9364971831,1,0,0,1,0,1,0
36872849,3.36497434972,-1,2.26547709592,-1,2.08036938706,-1,0.0,-1,3.61988577522,-1,0.0,-2,3.07231682569,1,0,0,0,1,0,1
31681972,0.0,0,7.73538634966,0,2.27319598723,0,3.12437641915,0,1.90531799148,0,2.61530226695,0,3.53034833533,0,1,1,0,0,0,1
49902601,-5.58555473459,-2,9.39423438796,-2,8.48790320597,-2,8.73044143838,-2,6.74789298004,-2,6.43744401738,-2,3.33222185165,1,0,0,0,1,0,1
50561918,-2.14277277636,-2,5.63449792883,-2,3.72094044901,-2,3.7712199379,-2,3.83444032318,-2,4.85355471147,-2,3.30192724889,1,0,0,0,1,1,0
46730642,7.24507652468,0,5.31707052239,0,1.75722997456,0,3.44971158269,2,3.24016173048,2,1.96630794313,2,2.80203933066,0,1,0,0,1,0,1
13673924,13.5434688822,0,2.84821022335,0,3.76562154243,2,3.96575030578,2,3.75366932104,2,3.69200506477,1,3.87087664063,1,0,0,1,0,1,0
16303077,6.35682179721,0,2.52036187799,2,2.72672356242,2,2.50461904452,2,3.75789643918,0,3.65444166102,0,3.77976314968,1,0,0,1,0,0,1
17507873,6.86775378626,0,1.76364327949,0,2.42276300314,2,2.40399436693,0,1.61771093666,0,3.76702269466,0,2.80203933066,0,1,0,0,1,0,1
35350659,10.7228602999,0,2.94760439047,0,2.90348238023,0,2.71868004728,0,3.06311863976,0,3.02558980372,0,3.23961180128,0,1,0,1,0,1,0
33327740,4.9020057539,0,1.86904394112,0,1.83130443392,0,4.67494143806,0,1.47665619577,0,1.7919418395,0,2.80203933066,0,1,0,0,1,0,1
37153557,18.4007807837,0,4.7302154741,0,4.63504152234,0,5.26524531336,0,4.60945873503,0,5.16624961369,0,3.20753433,1,0,0,0,1,1,0
35682819,6.46585575807,-2,3.0694605184,-2,4.77072943941,-2,3.13148653305,-2,3.84051389245,-2,3.22016022247,-2,3.63424118566,0,1,0,0,1,1,0
22830059,5.79810993508,-1,7.60154498138,0,8.10023393726,0,6.71609695758,0,8.04072846176,0,5.25626819691,0,2.80203933066,0,1,0,0,1,0,1
58275848,-2.45286251566,2,1.64753718898,3,0.0,-1,0.0,-2,0.0,-2,0.0,1,3.39121144301,1,0,0,1,0,1,0
47179081,6.36271866682,0,1.6401820143,0,2.05714903952,0,2.06183504441,0,2.05244158819,0,2.00165349926,0,2.88449914061,0,1,0,0,1,0,1
23138056,7.52124280142,-1,0.0,-2,0.0,0,12.6221147699,0,7.95182698145,0,5.54189322618,0,3.77976314968,0,1,0,0,1,0,1
28616704,8.05913151859,0,2.09405642142,0,2.05244158819,0,2.06649984548,0,2.03818806174,0,1.97398891151,2,3.23961180128,0,1,0,1,0,1,0
14984913,9.49153025934,0,2.57246915569,0,3.55816673274,0,5.02424299084,0,4.02673310393,0,2.45780781637,0,3.33222185165,0,1,1,0,0,1,0
27747208,2.43119887553,-2,2.11203203387,-2,0.0,-2,2.11203203387,-2,2.66099361753,-2,0.0,-2,3.39121144301,1,0,1,0,0,0,1
56036716,0.0,0,4.24236469198,0,3.84051389245,0,2.79198079641,2,5.60776393336,2,1.86333690119,2,2.84386697985,1,0,1,0,0,0,1
45674314,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,1,3.47602664489,0,1,0,0,1,1,0
31353338,7.60223285732,0,2.29604370898,0,2.26159784673,0,2.52660428585,0,2.50936265252,0,2.46927011057,0,3.77976314968,1,0,0,1,0,1,0
44176526,12.6713257451,0,3.1675528952,0,3.17545698343,0,3.87788051157,0,3.81883092886,0,3.80515305512,0,3.20753433,0,1,1,0,0,0,1
25718125,8.82983091482,0,9.00356542438,0,-7.18513400678,0,6.46395354614,0,5.64574446362,2,3.17841089201,2,3.30192724889,0,1,1,0,0,0,1
27874748,0.0,0,8.30738940327,0,1.81334931262,0,3.27388656515,0,6.16308613,2,2.66659572589,1,3.23961180128,0,1,0,0,1,0,1
23425314,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-1,4.5382037309,-1,3.33222185165,1,0,1,0,0,1,0
53012372,13.5298019137,0,3.57768316019,0,3.442179443,0,3.38850640341,0,3.29964452859,0,3.77191857073,0,3.07231682569,1,0,1,0,0,0,1
36112762,1.59067966671,-2,1.9481483892,-2,2.41256177493,-2,2.41256177493,-2,3.80309286519,-2,3.33665128648,-2,3.20753433,1,0,1,0,0,0,1
26882469,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,0,5.80313096906,0,3.39121144301,1,0,1,0,0,1,0
42504404,12.4149453191,0,5.19070822416,0,4.28987002502,0,5.15131277182,0,3.29873152962,0,5.05009314732,0,3.17480210394,1,0,0,0,1,1,0
15259008,0.0,-2,0.0,-2,0.0,-2,0.0,2,4.19433590228,2,4.31136271493,1,3.60882608014,1,0,0,0,1,1,0
14225769,0.0,-2,0.0,-2,0.0,-2,0.0,0,16.9439167341,0,4.90241929123,0,3.03658897188,0,1,0,0,1,0,1
18434214,15.5435073938,0,3.98774430031,0,3.89891350843,0,4.69981823652,0,13.5841974653,2,5.34469670999,1,3.50339806039,0,1,1,0,0,1,0
54719570,10.2261281244,2,2.81348764655,2,2.77530801981,2,2.96353155457,2,2.95331237625,2,2.91639211623,3,3.0,1,0,1,0,0,0,1
48965302,8.36899563198,0,2.10308263824,0,2.0688243692,0,2.07345780991,0,3.13249963132,0,2.04771244335,0,3.0,0,1,0,0,1,0,1
12194391,5.07876546354,0,1.31917288251,-1,2.05479800999,-1,2.58888326607,-1,0.0,-1,2.58888326607,-1,3.73251115682,0,1,1,0,0,0,1
40465954,3.50720364503,-1,3.19114819305,-1,2.64971808559,-1,2.46109365961,2,0.0,-1,0.0,1,3.0,1,0,0,0,0,0,1
42811697,8.41682192091,0,3.67758524197e-05,0,0.0,0,2.61530226695,2,2.81348761286,0,2.58739966502,0,3.11120353353,1,0,0,0,1,0,1
19482763,9.08400096986,0,3.31870230408,0,2.76884177011,0,1.96630794313,0,1.97398891151,0,1.88316112208,0,2.84386697985,1,0,0,0,1,0,1
11640981,9.4366088976,0,3.22494501439,0,10.5663055476,0,7.07031330874,0,6.38985056342,0,3.72524210849,2,3.68403149864,1,0,1,0,0,0,1
44106552,15.4999071531,0,3.88973954283,0,10.6368646158,2,5.0473640094,0,4.86533829751,0,6.76834654057,0,3.65930571002,0,1,0,0,1,1,0
17542728,11.8717098514,0,3.91907504555,0,4.54061510422,0,8.32635414442,0,5.46877523499,0,3.90999557389,0,2.96249606841,1,0,1,0,0,0,1
58877422,3.10078370751,-2,5.55609417212,-2,4.87330190535,-2,5.37548161972,-2,4.51735930543,-2,5.95129225516,-2,3.3619754068,1,0,0,1,0,0,0
14817300,3.42786142249,0,0.0,-1,0.0,-2,0.0,0,4.45364254718,0,6.77484831839,0,2.92401773821,1,0,0,0,1,0,1
34759410,13.4346170274,0,3.8805221248,0,3.84858221816,0,9.85400450092,0,8.03442139706,0,9.87014858594,0,3.30192724889,1,0,0,0,1,1,0
57651201,14.5972742472,0,6.74418066346,0,5.76181874552,0,5.78655811656,0,5.82722891608,0,5.8057856457,0,3.14138065239,1,0,1,0,0,0,1
34314186,5.98671578591,-1,10.0856502753,0,7.59569300401,-1,8.92029283092,-1,9.23024594587,-1,8.52293330637,-1,3.07231682569,0,1,1,0,0,0,1
31011514,9.28578412197,0,3.08624532519,0,3.06205910365,0,3.21920155608,0,3.25148116471,0,3.5605200183,0,3.73251115682,1,0,0,1,0,0,1
57180533,14.6025891627,0,3.89564205303,0,4.10429330164,-1,14.9901276191,-1,4.1492258797,-1,20.8127829046,0,3.73251115682,0,1,0,0,0,1,0
14307770,8.01976930243,0,6.23881110239,0,2.35842660615,0,2.72270776344,0,2.81724896442,0,2.68326238186,0,3.39121144301,0,1,0,0,1,1,0
50058832,15.111734263,0,3.83173476804,0,3.73666493277,0,8.80208407509,0,11.2473554172,0,5.14943957203,0,3.23961180128,1,0,1,0,0,0,1
19290751,-3.496669005,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-1,3.33397124414,-1,3.03658897188,1,0,0,0,1,0,1
38095649,9.1910032212,0,2.36021194113,0,9.29476524457,0,8.31084398068,0,4.00949832344,0,6.05334999954,0,3.50339806039,1,0,0,1,0,0,1
40622577,16.9161792749,0,6.38180840728,0,4.35895334765,0,4.27251948709,0,5.01477666038,0,7.54959539957,0,3.65930571002,0,1,1,0,0,1,0
39360422,8.24690183907,0,-6.52987596493,0,2.63262265427,0,2.69425948173,0,2.66239635559,0,3.87523530337,0,3.23961180128,0,1,0,0,1,1,0
51888682,0.0,-2,0.0,-2,0.0,-2,0.0,0,10.2409317059,0,6.98030893973,0,3.44821724038,1,0,0,0,1,0,1
42708913,12.2748087808,0,12.521003732,0,11.0080384521,0,8.28298167274,0,6.04465889288,0,5.59604675073,0,3.30192724889,0,1,0,0,1,0,1
17978679,5.55738157162,0,2.6707819113,2,2.84821022335,0,2.64262185963,0,2.8531019637,0,2.8408409531,0,3.47602664489,1,0,0,0,1,1,0
16465347,0.0,-1,5.40897671078,-1,7.99279313041,2,7.37177796291,2,2.6707819113,-1,8.23958932584,-1,2.75892417638,1,0,0,0,1,0,1
56224628,7.63237697563,0,4.49484554838,0,7.45459963696,0,2.24791455162,2,3.01360064762,2,2.82224852941,2,3.3619754068,0,1,0,1,0,1,0
55132008,6.71763886248,0,5.43130294651,-1,6.88414918393,-1,2.95899841326,-1,0.0,-1,3.95497892685,-1,3.17480210394,1,0,0,0,1,1,0
39053772,12.4917765538,2,3.34466569186,2,3.29140912098,2,3.66630922778,0,3.63499082041,0,3.55816674327,0,3.0,0,1,1,0,0,0,1
57778720,8.67744568671,0,2.23206969331,2,2.46927011057,2,2.70516753381,2,5.6813740394,2,2.89283380042,1,3.27106631019,0,1,1,0,0,0,1
57560665,11.2174236615,2,3.75578409314,0,4.63411616721,0,4.02795854135,2,3.2076527452,2,3.23066806848,1,2.88449914061,1,0,1,0,0,0,1
59399671,10.3808631657,0,3.59698899467,0,8.26075999882,2,5.55480617142,0,3.98649403187,0,4.24402056479,0,3.03658897188,0,1,1,0,0,0,1
26256621,12.3000186639,0,5.48236519237,0,7.96547700234,0,6.88980636082,0,6.06012260169,0,6.38254035162,0,3.44821724038,1,0,0,1,0,1,0
43915012,2.71464043389,0,3.25617441771,0,2.72002396894,0,3.79482973679,0,3.82631217942,0,3.8330880253,0,3.17480210394,0,1,0,0,1,1,0
53043634,13.5988302303,2,3.61532958944,2,3.50234936142,2,4.10370327709,2,4.07398248272,2,4.08055824253,1,3.07231682569,1,0,0,0,1,1,0
15245631,14.6130212507,0,6.96128892872,0,9.87942283832,0,8.13987362943,0,7.613736319,0,6.56995034508,-1,3.33222185165,1,0,0,0,1,1,0
48898147,-1.81334931262,-2,0.0,0,6.0291156476,0,5.58204862194,-1,5.91203195886,-1,5.83512014951,-1,3.07231682569,0,1,0,0,1,0,1
14293401,8.12544918839,0,4.08354024389,0,2.00413079572,0,2.00906709841,0,2.65677650489,0,3.18626128159,-1,2.96249606841,0,1,1,0,0,0,1
31576423,9.55029265918,0,2.6651974059,0,2.86162236998,0,2.84575803942,0,2.80593458964,0,2.80087656229,0,3.0,1,0,0,0,1,0,1
25970922,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,3.55689330449,1,0,0,0,1,1,0
43904937,15.1495433832,0,8.15379871843,0,8.54626373921,0,11.5837168386,0,8.74943598868,0,4.73731125737,0,3.23961180128,0,1,0,1,0,1,0
14811882,-6.73214215136,-2,4.87831817437,-2,7.11122764469,-2,7.65058746112,-2,7.58119638224,-2,8.36544692077,-2,3.33222185165,0,1,0,0,1,0,1
31246977,-8.68272169317,0,9.38250849511,0,7.66904962027,0,5.08722752404,0,5.07220723271,0,5.09106462575,0,2.96249606841,1,0,0,0,1,0,1
13319779,4.647957708,-1,7.72290989841,0,3.7323895687,-1,8.74774803892,0,8.82842858538,0,6.27283842226,0,3.14138065239,1,0,1,0,0,0,1
21343766,12.2757321166,0,3.41938286118,0,3.256174424,0,3.24583131005,0,3.19796485179,0,3.21054774671,-1,3.14138065239,0,1,0,1,0,1,0
35431375,14.5158084235,0,7.51755177915,0,7.80599021548,0,9.40772799299,0,7.74765712712,0,7.72640736842,0,3.14138065239,1,0,1,0,0,0,1
41541071,-4.57790546409,0,4.08473182267,0,5.68352840679,-1,6.91462981737,-1,10.7675318696,-1,-0.00584803702281,1,3.17480210394,1,0,0,1,0,0,1
27800416,-5.40659794331,-2,2.69972452608,-2,4.10841882256,-2,3.64922528125,-2,5.60618339102,-2,5.18332088798,-2,3.70842976927,1,0,1,0,0,1,0
28301376,0.0,-2,0.0,-2,0.0,0,8.58931459993,0,13.2575300232,0,4.72443445169,0,3.10723250595,0,1,1,0,0,0,1
47570428,2.70652486848,-1,1.64753718898,-2,0.0,-2,0.0,-1,4.1898118746,-1,8.56256022568,-1,3.53034833533,1,0,1,0,0,1,0
34946556,13.0212990768,0,5.09604423486,0,3.37895880771,0,5.12382753905,0,3.41768213269,0,3.3375436719,0,3.17480210394,1,0,0,1,0,0,1
43347686,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,1,3.60882608014,1,0,1,0,0,1,0
18029305,13.8843803757,0,3.56678028093,0,3.58465723474,0,11.6725748155,0,8.83543578324,0,4.07757188442,0,3.44821724038,0,1,1,0,0,1,0
11687785,7.94663710833,0,7.52721106904,0,5.44273305575,0,9.10610646293,0,7.53876959169,0,4.47706746327,0,3.10723250595,1,0,1,0,0,0,1
56149821,15.8671864167,2,4.2268470712,2,4.18187123853,2,4.83619625499,2,4.8066986912,2,4.76417082298,1,3.60882608014,0,1,1,0,0,1,0
47301543,4.09720164392,0,0.827413635745,0,6.30749985466,0,4.52901705855,0,1.34163119093,0,4.57030569006,0,3.33222185165,1,0,0,0,1,0,1
14255991,7.291167234,0,6.3565758568,0,7.19436199574,0,5.03798444434,0,10.0198621607,0,4.6183284871,0,3.0,0,1,0,1,0,0,1
42907956,1.89153083704,-2,2.35663856407,-2,4.03040713253,-2,0.0,-2,1.9162057592,-2,2.98264438037,-2,3.75628575422,1,0,0,0,1,1,0
58775458,-9.99803794506,-1,6.99130541732,-1,8.11459715653,-1,4.03346371426,-1,5.08107609419,-1,4.91191132416,-1,3.17480210394,0,1,1,0,0,0,1
37453623,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-1,4.04503668777,-1,3.27106631019,0,1,1,0,0,0,1
22322639,6.87259646176,0,2.00165349926,0,3.71446923517,0,4.77596337606,0,1.92697118598,0,6.72248024707,0,3.20753433,0,1,0,0,1,1,0
29415896,-6.80845811408,-1,3.40143975932,2,2.5497429755,0,4.88082244492,0,3.19602018259,0,7.56768541345,0,3.23961180128,1,0,1,0,0,0,1
20085436,6.57524146058,0,2.59036516867,0,2.58442734803,0,2.5962758912,0,2.56795604263,0,3.32500650271,0,3.41995189335,1,0,1,0,0,1,0
10492538,-4.05593980436,-1,6.8294034022,-1,8.71960621275,-1,7.94758122585,-1,6.99211859621,-1,4.58074888436,-1,3.20753433,1,0,1,0,0,0,1
58136883,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,1,3.47602664489,0,1,0,0,1,1,0
36208236,13.8723068614,0,5.02463665038,0,9.47993339102,0,9.09842977617,0,8.97009598597,0,4.76635903036,0,3.41995189335,1,0,0,1,0,1,0
16123359,-8.33308592773,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,3.55689330449,0,1,0,0,1,1,0
49625782,2.96917853386,-1,3.86128832044,0,0.0,2,0.0,2,0.0,-1,0.0,1,3.70842976927,1,0,0,1,0,1,0
27268339,9.53796447862,2,3.44134049524,2,2.66099361753,2,2.86525848872,2,2.85188060141,2,2.82474168312,2,3.23961180128,1,0,0,1,0,1,0
14814382,0.0,-2,0.0,0,8.65083611595,0,2.42951638442,0,3.67736571082,0,3.17150986067,0,3.44821724038,1,0,0,1,0,1,0
21146704,15.3866090684,2,7.46656215929,2,4.1658988523,2,4.79592130372,2,4.76898222758,2,4.73819673316,2,3.3619754068,0,1,0,0,1,1,0
36965860,20.4616601131,0,13.5441731768,0,11.3057349697,0,11.2452339186,0,17.5105801708,0,7.98500761694,0,3.55689330449,0,1,1,0,0,0,1
22390048,3.67589535252,-1,5.71625812779,-1,0.0,-1,3.27017362001,-1,0.0,-1,3.90674266426,-1,4.12128529981,1,0,1,0,0,1,0
46001887,0.0,-1,1.67632093618,-1,4.01874962556,-1,0.0,-2,0.0,-1,3.25148116471,-1,3.44821724038,1,0,0,1,0,1,0
18140855,2.21194172898,-1,3.56208714879,-1,6.02829535975,-1,4.26979571846,-2,5.32198723506,-2,3.10078370751,-2,2.88449914061,1,0,0,0,1,0,1
12362097,1.76683251479,-1,1.70071987966,-1,1.70071987966,-1,1.70071987966,-1,1.70071987966,-1,1.70071987966,-1,3.17480210394,1,0,1,0,0,0,1
14064181,7.4504842362,0,1.96630794313,0,1.91349542212,0,5.69917544654,0,3.74872563987,0,3.46053362525,0,2.84386697985,1,0,1,0,0,0,1
43553867,-9.7519361667,0,1.43444270104,-1,1.8072845539,-1,5.39774414233,0,1.49020425709,-1,0.0,1,3.0,1,0,1,0,0,0,1
30975124,0.0,-2,0.0,-2,0.0,-1,13.2956424611,-1,8.18343669893,0,8.90603234856,0,3.0,1,0,0,0,1,0,1
20261861,-9.13406477042,-1,4.4350267883,-1,5.94173689604,-1,4.04260577571,-1,3.50801138427,-1,4.26706845934,-1,3.47602664489,1,0,0,1,0,1,0
18418172,5.7344484115,0,7.40110363866,0,8.29715275736,0,-8.22051579357,0,2.02615597464,0,2.58293862227,0,2.80203933066,0,1,0,0,1,0,1
52754718,-4.91972499399,-1,7.67006330736,0,7.16525187643,0,5.26345233514,0,7.98095309416,0,9.82526408517,0,3.39121144301,1,0,1,0,0,0,1
41267590,10.9328964794,0,11.0710715062,0,11.4863230018,0,5.76690313768,0,4.58311570125,0,5.92649726835,0,2.96249606841,1,0,1,0,0,1,0
43434251,0.0,-2,0.0,-2,0.0,2,4.20841096046,2,0.0,2,0.0,2,3.41995189335,1,0,1,0,0,1,0
55746156,10.3870382469,0,4.29418579615,0,5.11434667299,0,4.20560348443,0,8.83403523454,0,4.51979296243,0,3.07231682569,1,0,0,0,1,0,1
19085663,6.98255177182,0,1.83130443392,0,1.77001027796,-1,11.5290232,-1,0.0,-2,0.0,1,2.88449914061,1,0,0,0,1,0,1
50161819,-1.14233848489,-1,2.95331239154,-1,2.60362665492,2,4.65117556126,-1,4.97574647957,-1,4.44661707122,-1,3.39121144301,1,0,0,0,1,1,0
27310672,15.3628556346,2,3.9764635092,3,4.02795852081,2,4.67993798162,2,4.6465772631,2,4.60243211021,2,3.73251115682,0,1,1,0,0,1,0
41703556,17.9274305791,0,4.18867933991,0,3.90609144504,0,4.98216060019,0,6.12491302945,0,5.78031875455,0,3.07231682569,1,0,1,0,0,0,1
30735244,12.3261068508,0,5.7416923102,0,5.5103268614,0,4.69981823652,0,5.49358403579,0,4.94708230599,0,3.39121144301,0,1,0,0,1,1,0
10580182,-4.09423952487,-1,3.63574279892,-1,5.14193308971,-1,4.20841096046,-1,2.6138485133,-1,4.93487026174,-1,3.27106631019,0,1,0,0,1,1,0
17341734,11.1529232417,0,2.6942595001,0,3.68981655607,0,2.9070145691,0,2.77401720466,0,2.77143187753,0,3.39121144301,0,1,0,1,0,1,0
43752591,9.51694410309,0,2.41426797195,0,2.41597176078,2,2.83837601395,2,2.80593458964,2,2.79070533676,1,3.39121144301,1,0,0,0,1,1,0
37664751,3.62669862525,-1,8.51910092859,0,5.71260614907,0,5.00487774664,0,4.84171363176,2,2.97143132572,1,2.84386697985,1,0,0,0,1,1,0
21624785,9.35090587656,0,3.64549014529,0,3.54239800495,0,2.91989319056,0,2.35842660615,0,3.49829385143,2,2.8966785005,1,0,0,1,0,1,0
56309208,14.0347200475,0,7.46959132832,0,4.81442859004,0,8.97416993433,0,7.29863712595,0,4.93894766331,0,3.0,1,0,0,0,1,1,0
22082669,3.46715984272,-1,2.31474195663,0,2.31474195663,-1,0.0,-2,2.91639211623,-2,2.31474195663,1,3.70842976927,0,1,1,0,0,1,0
30586795,12.1828362962,0,3.80240563281,0,4.52222401451,0,4.7417353459,0,3.73096225895,0,4.01135199425,0,3.17480210394,1,0,0,0,1,1,0
28986525,4.30440111851,-1,3.33575841748,0,3.33575841748,0,3.33575841748,-1,3.33575841748,-1,3.33575841748,-1,3.30192724889,1,0,0,0,1,1,0
26703442,0.0,-1,1.98917403835,-1,1.98917403835,-1,1.98917403835,2,1.98917403835,-1,1.98917403835,-1,3.9790572079,0,1,1,0,0,1,0
19677878,6.44415168942,-1,8.83976195246,-1,3.2496000644,-1,3.82291523855,-1,11.7695059185,-1,7.17491716027,-1,3.27106631019,0,1,1,0,0,0,1
18147124,3.05781360898,-1,4.05654381625,-1,3.79068464366,-1,5.79692725071,-1,4.03590564839,-1,4.22127737736,-1,3.17480210394,0,1,1,0,0,0,1
12127861,7.43667339334,0,4.62902017651,0,1.84600252994,0,1.81636653834,2,2.55432062084,2,3.29140910867,2,2.92401773821,1,0,1,0,0,0,1
27364607,-2.31288570727,-1,2.6440441537,-1,3.6439939456,-1,3.43713963596,-1,0.0,-1,5.50377318168,-1,3.44821724038,1,0,0,0,1,1,0
54922116,-6.16726945803,-1,10.1791568702,-1,-2.81975095465,0,6.61658621067,-1,4.00206643228,-1,7.34479705823,-1,3.0,1,0,0,0,1,0,1
57849014,10.9246591756,0,2.26353909435,0,2.86040828279,2,3.27573990236,3,3.09353156965,4,3.11723381,5,3.20753433,0,1,0,0,1,0,1
