,CUM_PAY_JUL,PAY_JUL,CUM_PAY_AUG,PAY_AUG,CUM_PAY_SEP,PAY_SEP,CUM_PAY_OCT,PAY_OCT,CUM_PAY_NOV,PAY_NOV,CUM_PAY_DEC,PAY_DEC,SEX,EDUCATION,MARRIAGE,BIRTH_DATE,DEFAULT PAYMENT JAN
23138056,59.6272,-1,544.7242856,-2,544.7242856,0,544.7242856,0,623.7303256,0,1070.9343256,0,M,university,single,26/01/1962,0
28616704,44.8992816,0,70.658232,0,90.6929712,0,109.9823704,0,148.620796,0,186.9014584,2,M,high school,married,18/01/1982,0
14984913,11.9850672,0,41.7986672,0,101.4258672,0,161.142508,0,220.769708,0,280.396908,0,M,graduate school,married,21/01/1979,1
27747208,4.47204,-2,23.3142352,-2,32.7353328,-2,32.7353328,-2,42.1564304,-2,60.9986256,-2,F,graduate school,single,01/01/1977,0
56036716,0.0,0,0.0,0,0.0,0,5.96272,2,14.9068,2,74.534,2,F,graduate school,single,09/01/1994,1
45674314,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,1,M,university,married,23/01/1974,0
31353338,29.8136,0,59.6272,0,80.794856,0,110.608456,0,158.310216,0,206.011976,0,F,high school,married,09/01/1963,0
44176526,89.4408,0,174.7971368,0,247.3634392,0,319.3334696,0,393.4202656,0,464.5853288,0,M,graduate school,single,31/01/1983,0
25718125,30.111736,0,82.285536,0,107.478028,0,160.6654904,0,219.4877232,2,219.4877232,2,M,graduate school,single,24/01/1980,1
27874748,0.0,0,0.0,0,89.4408,0,238.5088,0,417.3904,2,417.3904,1,M,university,single,15/01/1982,0
23425314,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-1,0.0,-1,F,graduate school,married,23/01/1979,0
53012372,149.068,0,298.136,0,447.204,0,596.272,0,745.34,0,894.408,0,F,graduate school,single,17/01/1987,0
36112762,5.96272,-2,15.950276,-2,23.3440488,-2,37.3862544,-2,51.42846,-2,106.434552,-2,F,graduate school,single,29/01/1983,0
26882469,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,0,0.0,0,F,graduate school,married,06/01/1978,0
42504404,77.7538688,0,150.856816,0,240.297616,0,311.2837976,0,394.0165376,0,470.5182352,0,F,university,married,09/01/1985,0
15259008,0.0,-2,0.0,-2,0.0,-2,0.0,2,0.0,2,0.0,1,F,university,married,01/01/1969,1
14225769,0.0,-2,0.0,-2,0.0,-2,0.0,0,44.7204,0,300.1036976,0,M,university,single,29/01/1988,0
18434214,149.068,0,289.19192,0,568.0087072,0,702.1699072,0,875.4465504,2,875.4465504,1,M,graduate school,married,29/01/1973,1
54719570,32.79496,2,77.51536,2,122.23576,2,166.95616,2,205.71384,2,265.34104,3,F,graduate school,single,20/01/1989,1
48965302,18.6633136,0,41.0235136,0,61.9824744,0,82.2557224,0,120.9835888,0,160.0692184,0,M,university,single,28/01/1989,0
12194391,29.8136,0,59.6272,-1,192.9238056,-1,201.5995632,-1,218.9510784,-1,218.9510784,-1,M,graduate school,single,30/01/1964,0
40465954,44.869468,-1,132.8792152,-1,165.3760392,-1,183.9797256,2,183.9797256,-1,198.8865256,1,F,other,single,09/01/1990,0
42811697,0.0,0,29.8136,0,29.8136,0,59.6272,2,59.6272,0,160.99344,0,F,university,single,,0
19482763,36.52166,0,245.21686,0,334.65766,0,424.09846,0,461.514528,0,499.0200368,0,F,university,single,25/01/1993,0
11640981,29.8136,0,183.0256904,0,421.5344904,0,720.6245256,0,810.0653256,0,929.3197256,2,F,graduate school,single,21/01/1966,1
44106552,149.068,0,298.136,0,447.204,2,447.4126952,0,924.4302952,0,1136.1068552,0,M,university,married,02/01/1967,0
17542728,58.3154016,0,122.384828,0,184.993388,0,246.3795904,0,319.5421648,0,408.9829648,0,F,graduate school,single,12/01/1991,0
58877422,0.0,-2,58.6731648,-2,201.3312408,-2,317.067636,-2,472.54556,-2,564.5801432,-2,F,high school,,09/01/1979,0
14817300,0.0,0,29.8136,-1,40.2781736,-2,40.2781736,0,40.2781736,0,99.9053736,0,F,university,single,25/01/1991,0
34759410,74.534,0,163.9748,0,238.5088,0,327.9496,0,417.688536,0,525.017496,0,F,university,married,21/01/1980,0
57651201,119.2544,0,238.5088,0,387.5768,0,507.9044896,0,656.9724896,0,806.0404896,0,F,graduate school,single,25/01/1985,0
34314186,1482.332192,-1,3187.550858,0,4023.2856932,-1,4645.9725428,-1,5364.838066,-1,6143.3009756,-1,M,graduate school,single,14/01/1987,0
31011514,29.7241592,0,65.142716,0,99.0407792,0,132.1636888,0,183.7114032,0,236.27278,0,F,high school,single,09/01/1965,1
57180533,112.8742896,0,223.1846096,0,333.0477256,-1,6770.3107966,-1,6847.945411,-1,6907.572611,0,M,other,married,03/01/1964,0
14307770,89.4408,0,149.068,0,208.6952,0,253.4156,0,313.0428,0,402.4836,0,M,university,married,26/01/1977,0
50058832,134.1612,0,283.2292,0,402.4836,0,536.6448,0,715.5264,0,924.2216,0,F,graduate school,single,11/01/1983,0
19290751,42.7527024,-2,42.7527024,-2,42.7527024,-2,42.7527024,-2,42.7527024,-1,42.7527024,-1,F,university,single,21/01/1988,0
38095649,29.8732272,0,58.7626056,0,118.3898056,0,146.0568264,0,220.5908264,0,343.0650952,0,F,high school,single,18/01/1973,1
40622577,208.6952,0,417.3904,0,626.0856,0,834.7808,0,1013.6624,0,1252.1712,0,M,graduate school,married,10/01/1968,0
39360422,29.8136,0,40.2781736,0,50.2657296,0,84.1637928,0,119.9401128,0,154.4642616,0,M,university,married,10/01/1983,0
51888682,0.0,-2,0.0,-2,0.0,-2,0.0,0,0.0,0,60.37254,0,F,university,single,18/01/1975,0
42708913,77.51536,0,149.068,0,223.602,0,462.1108,0,700.6196,0,909.4042408,0,M,university,single,09/01/1981,0
17978679,59.6272,0,89.4408,2,89.4408,0,149.068,0,184.84432,0,223.602,0,F,university,married,04/01/1974,0
16465347,0.0,-1,0.0,-1,658.0755928,2,658.9103736,2,658.9103736,-1,1088.5243496,-1,F,university,single,22/01/1995,0
56224628,9.838488,0,40.099292,0,70.1215872,0,130.9711448,2,130.9711448,2,172.7101848,2,M,high school,married,17/01/1978,0
55132008,29.8136,0,226.58336,-1,522.9901712,-1,854.8155392,-1,875.1484144,-1,875.1484144,-1,F,university,married,15/01/1984,0
39053772,74.534,2,149.068,2,226.58336,2,321.98688,0,542.60752,0,626.0856,0,M,graduate school,single,29/01/1989,0
57778720,29.8136,0,59.6272,2,59.6272,2,113.29168,2,113.29168,2,163.9748,1,M,graduate school,single,08/01/1982,0
57560665,59.6272,2,59.6272,0,163.9748,0,226.58336,2,226.58336,2,301.11736,1,F,graduate school,single,26/01/1992,0
59399671,47.70176,0,95.40352,0,143.10528,2,143.403416,0,289.639124,0,373.117204,0,M,graduate school,single,23/01/1988,0
26256621,29.8136,0,166.95616,0,246.8267944,0,396.3121848,0,501.2262432,0,799.3622432,0,F,high school,married,01/01/1975,0
43915012,0.0,0,14.9664272,0,29.962668,0,59.8358952,0,89.7985632,0,134.6680312,0,M,university,married,09/01/1985,0
53043634,214.65792,2,214.65792,2,423.35312,2,423.35312,2,545.58888,2,694.65688,1,F,university,married,19/01/1987,0
15245631,268.3224,0,447.204,0,596.272,0,775.4815496,0,984.1767496,0,1192.8719496,-1,F,university,married,02/01/1979,0
48898147,0.0,-2,0.0,0,0.0,0,208.6952,-1,387.129596,-1,593.7676576,-1,M,university,single,30/01/1987,0
14293401,20.86952,0,49.3116944,0,70.360096,0,89.9178176,0,127.8407168,0,176.4070712,-1,M,graduate school,single,13/01/1990,0
31576423,44.7204,0,89.4408,0,134.1612,0,187.82568,0,241.49016,0,295.15464,0,F,university,single,06/01/1990,0
25970922,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,F,university,married,10/01/1972,0
43904937,149.068,0,447.204,0,745.34,0,924.2216,0,1222.3576,0,1520.4936,0,M,high school,married,02/01/1982,0
14811882,542.3391976,-2,779.5660128,-2,895.6601712,-2,1255.3314416,-2,1703.9366808,-2,2139.0363592,-2,M,university,single,08/01/1980,0
31246977,626.0856,0,1343.2815616,0,1344.891496,0,1375.748572,0,1420.468972,0,1509.909772,0,F,university,single,03/01/1990,0
13319779,178.8816,-1,458.1754048,0,815.9386048,-1,1289.885404,0,1438.953404,0,1588.021404,0,F,graduate school,single,01/01/1985,0
21343766,29.8136,0,119.2544,0,193.7884,0,259.37832,0,323.47756,0,386.08612,-1,M,high school,married,10/01/1986,0
35431375,816.296368,0,1113.5677736,0,1538.4115736,0,2432.8195736,0,2906.1701008,0,3353.4635416,0,F,graduate school,single,19/01/1985,0
41541071,120.2084352,0,120.2084352,0,120.2084352,-1,397.4749152,-1,726.8257544,-1,1979.2950904,1,F,high school,single,21/01/1984,0
27800416,198.9759664,-2,239.9100392,-2,259.5870152,-2,328.9334488,-2,377.5296168,-2,553.8472472,-2,F,graduate school,married,28/01/1965,0
28301376,0.0,-2,0.0,-2,0.0,0,0.0,0,31.2744664,0,181.9822144,0,M,graduate school,single,18/01/1986,0
47570428,0.0,-1,29.8136,-2,29.8136,-2,29.8136,-1,29.8136,-1,97.8482352,-1,F,graduate school,married,11/01/1973,0
34946556,184.84432,0,277.26648,0,381.61408,0,471.05488,0,566.4584,0,652.91784,0,F,high school,single,23/01/1984,0
43347686,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,1,F,graduate school,married,15/01/1969,0
18029305,149.068,0,357.7632,0,566.4584,0,715.5264,0,954.0352,0,1550.3072,0,M,graduate school,married,10/01/1976,0
11687785,149.068,0,327.9496,0,402.4836,0,431.3431648,0,584.495628,0,673.936428,0,F,graduate school,single,08/01/1987,0
56149821,330.2452472,2,330.2452472,2,497.2014072,2,825.1510072,2,1004.0326072,2,1018.9394072,1,M,graduate school,married,23/01/1969,1
47301543,89.4408,0,178.9710408,0,238.5982408,0,330.6030104,0,420.4612008,0,509.9020008,0,F,university,single,27/01/1979,0
14255991,89.4408,0,179.925076,0,270.111216,0,360.6551192,0,509.7231192,0,632.5253376,0,M,high school,single,21/01/1989,0
42907956,25.5800688,-2,57.9278248,-2,71.0756224,-2,136.4866608,-2,136.4866608,-2,143.5226704,-2,F,university,married,26/01/1963,0
58775458,1105.846051,-1,1212.6085526,-1,1555.5245798,-1,2089.0389518,-1,2154.0325998,-1,2285.570203,-1,M,graduate school,single,10/01/1985,0
37453623,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-1,0.0,-1,M,graduate school,single,15/01/1981,0
22322639,238.5088,0,387.5768,0,417.3904,0,566.4584,0,602.23472,0,640.9924,0,M,university,married,03/01/1983,1
29415896,323.2688648,-1,330.93096,2,331.080028,0,382.4488608,0,499.4076136,0,531.4572336,0,F,graduate school,single,10/01/1983,1
20085436,29.8136,0,59.6272,0,74.534,0,108.7898264,0,143.2841616,0,177.2120384,0,F,graduate school,married,19/01/1976,0
10492538,193.7884,-1,320.8539632,-1,639.3824656,-1,1302.3474888,-1,1805.4818024,-1,2146.4003184,-1,F,graduate school,single,16/01/1983,0
58136883,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,1,M,university,married,08/01/1975,1
36208236,94.956316,0,190.2703952,0,2971.1637492,0,3010.4282604,0,3112.569654,0,3221.7768708,0,F,high school,married,28/01/1976,0
16123359,578.6521624,-2,578.6521624,-2,578.6521624,-2,578.6521624,-2,578.6521624,-2,578.6521624,-2,M,university,married,13/01/1971,0
49625782,0.0,-1,26.1763408,0,82.8221808,2,82.8221808,2,82.8221808,-1,83.7464024,1,F,high school,married,25/01/1965,1
27268339,38.75768,2,38.75768,2,77.51536,2,158.01208,2,158.01208,2,265.34104,2,F,high school,married,07/01/1983,0
14814382,0.0,-2,0.0,0,0.0,0,29.8136,0,74.534,0,119.2544,0,F,high school,married,20/01/1975,0
21146704,149.068,2,149.068,2,292.17328,2,614.16016,2,614.16016,2,822.85536,2,M,university,married,01/01/1978,0
36965860,208.6952,0,417.3904,0,864.5944,0,1222.3576,0,1639.748,0,2206.2362136,0,M,graduate school,single,06/01/1972,0
22390048,21.1080288,-1,91.8855152,-1,278.6677192,-1,278.6677192,-1,313.639072,-1,313.639072,-1,F,graduate school,married,12/01/1947,1
46001887,0.0,-1,0.0,-1,4.7105488,-1,69.7340104,-2,69.7340104,-1,69.8532648,-1,F,high school,married,24/01/1975,0
18140855,63.652036,-1,138.3649176,-1,184.9635744,-1,427.4077696,-2,505.8473512,-2,631.7799976,-2,F,university,single,01/01/1992,0
12362097,3.875768,-1,13.267052,-1,18.186296,-1,23.10554,-1,28.024784,-1,32.944028,-1,F,graduate school,single,02/01/1984,0
14064181,59.6272,0,89.4408,0,119.2544,0,149.068,0,187.82568,0,230.6976368,0,F,graduate school,single,28/01/1993,0
43553867,1192.544,0,1341.612,-1,1460.6278912,-1,1466.530984,0,1585.785384,-1,1627.1070336,1,F,graduate school,single,23/01/1989,0
30975124,0.0,-2,0.0,-2,0.0,-1,1788.816,-1,2350.3253424,0,2499.3933424,0,F,university,single,20/01/1989,0
20261861,780.7287432,-1,810.5423432,-1,888.6539752,-1,1098.1243288,-1,1182.3775624,-1,1212.1911624,-1,F,high school,married,27/01/1974,0
18418172,14.9068,0,29.8136,0,59.6272,0,94.807248,0,136.7847968,0,174.9163912,0,M,university,single,20/01/1994,0
52754718,224.2280856,-1,329.3806528,0,453.613924,0,648.5352408,0,797.6032408,0,946.9991904,0,F,graduate school,single,27/01/1977,0
41267590,50.086848,0,1452.876355,0,1490.888695,0,1572.2500094,0,1709.8397734,0,1838.068067,0,F,graduate school,married,04/01/1990,0
43434251,0.0,-2,0.0,-2,0.0,2,0.0,2,0.0,2,0.0,2,F,graduate school,married,02/01/1976,1
55746156,0.0,0,238.5088,0,327.9496,0,417.3904,0,715.5264,0,790.0604,0,F,university,single,13/01/1987,0
19085663,45.2868584,0,75.1004584,0,104.9140584,-1,442.7021464,-1,1975.1211864,-2,1975.1211864,1,F,university,single,30/01/1992,0
50161819,53.3067168,-1,105.1227536,-1,130.881704,2,130.881704,-1,249.1522552,-1,372.4016776,-1,F,university,married,28/01/1977,0
27310672,0.0,2,143.10528,3,187.82568,2,420.37176,2,599.25336,2,697.63824,2,M,graduate school,married,01/01/1964,0
41703556,178.8816,0,360.74456,0,539.62616,0,727.45184,0,951.05384,0,1165.71176,0,F,graduate school,single,07/01/1988,0
30735244,208.6952,0,447.502136,0,537.5093944,0,626.9501944,0,769.8169656,0,918.8849656,0,M,university,married,31/01/1977,1
10580182,129.6593464,-1,190.8666672,-1,238.8665632,-1,375.204156,-1,449.44002,-1,467.1194848,-1,M,university,married,02/01/1981,0
17341734,59.6272,0,119.2544,0,178.8816,0,238.5088,0,298.136,0,357.7632,0,M,high school,married,03/01/1977,1
43752591,32.79496,0,77.51536,0,110.31032,2,110.31032,2,214.65792,2,214.65792,1,F,university,married,28/01/1977,1
37664751,0.0,-1,50.8023744,0,78.8867856,0,234.7821,0,279.5025,2,279.5025,1,F,university,married,31/01/1993,0
21624785,44.7204,0,75.3389672,0,110.0419976,0,161.9474752,0,221.5746752,0,264.5062592,2,F,high school,married,,0
56309208,149.068,0,298.136,0,447.204,0,596.272,0,745.34,0,1043.476,0,F,university,married,03/01/1989,0
22082669,0.0,-1,41.6794128,0,41.6794128,-1,103.6917008,-2,103.6917008,-2,103.6917008,1,M,graduate school,married,27/01/1965,1
30586795,0.0,0,158.01208,0,223.3336776,0,284.4515576,0,348.0439664,0,411.576748,0,F,university,married,24/01/1984,0
28986525,0.0,-1,79.75138,0,79.75138,0,146.682912,-1,191.105176,-1,228.223108,-1,F,university,married,08/01/1981,0
26703442,7.8707904,-1,15.7415808,-1,23.6123712,-1,31.4831616,2,31.4831616,-1,47.2247424,-1,M,graduate school,married,31/01/1953,0
19677878,11.8061856,-1,291.2192448,-1,981.9705432,-1,1016.2859968,-1,1072.1566832,-1,2716.8835542,-1,M,graduate school,single,26/01/1981,0
18147124,50.8918152,-1,130.732636,-1,197.3958456,-1,251.8056656,-1,447.3232544,-1,512.6150384,-1,M,graduate school,single,09/01/1985,0
12127861,6.0521608,0,25.9676456,0,55.7812456,0,85.5948456,2,85.5948456,2,219.7560456,2,F,graduate school,single,11/01/1992,1
27364607,37.6843904,-1,62.9961368,-1,81.4805688,-1,131.5376032,-1,170.4741648,-1,170.4741648,-1,F,university,married,13/01/1975,0
54922116,1126.655944,-1,2018.7384832,-1,2233.7541664,0,2919.6756616,-1,3340.7033208,-1,3404.9516288,-1,F,university,single,25/01/1989,0
57849014,38.01234,0,78.4992088,0,116.123972,2,116.123972,3,116.123972,4,116.123972,5,M,university,single,08/01/1984,0
24131070,0.0,0,259.2888792,0,378.5432792,0,429.6736032,0,482.4734888,0,542.1006888,0,M,graduate school,married,18/01/1970,0
41300207,716.3015536,-2,726.7065,-2,736.992192,-2,908.3905784,-2,1049.2300248,-2,1153.9950152,-2,F,university,single,19/01/1976,0
41961355,1073.2896,0,1221.1054288,0,1370.1734288,2,1370.1734288,2,1519.2414288,0,1877.0046288,0,M,university,single,09/01/1989,0
14627721,62.9961368,0,123.3090496,0,176.9735296,0,227.6566496,0,279.8304496,0,343.0352816,0,M,university,single,10/01/1979,0
56510236,14.9068,0,44.7204,0,63.502968,0,85.9526088,0,127.0953768,2,127.0953768,1,F,graduate school,single,15/01/1979,0
53539996,29.8136,-1,626.0856,0,675.9339392,0,693.8220992,0,791.1933168,0,880.6341168,2,F,university,married,04/01/1980,0
46103696,274.1658656,-1,704.8829448,-1,704.8829448,-1,718.4779464,-1,911.1334296,-1,1053.9405736,-1,,university,married,,1
39880494,12.9391024,-2,12.9391024,-2,12.9391024,-2,12.9391024,-2,12.9391024,-2,12.9391024,-2,F,graduate school,married,14/01/1958,0
47342166,137.14256,2,137.14256,2,548.8087488,2,548.8087488,0,974.2190072,0,1089.4187576,0,M,university,other,22/01/1975,0
56066118,6.409924,-1,32.944028,-1,44.571332,-1,81.24206,0,140.86926,0,176.2878168,0,M,university,married,24/01/1968,0
45996090,217.341144,-1,269.06774,-1,377.6190576,-1,459.6064576,-1,638.4880576,2,638.4880576,1,F,graduate school,single,05/01/1991,1
30319611,41.73904,0,71.9104032,0,101.7240032,0,757.6232032,0,796.3808832,0,835.1385632,0,F,university,married,18/01/1982,0
44086116,76.7998336,-1,133.1475376,-1,217.5796528,-1,368.4364688,-1,583.9291696,-1,682.6121856,-1,M,graduate school,married,11/01/1971,0
53674798,89.4408,0,178.8816,0,266.4143296,0,352.6352608,0,444.0139448,0,537.9565984,0,F,high school,single,23/01/1989,0
28289683,152.04936,2,301.11736,2,438.25992,2,587.32792,2,766.20952,2,927.20296,1,F,university,single,31/01/1974,0
26479436,0.0,-2,0.0,-2,0.0,-2,0.0,0,0.0,0,29.8136,0,F,graduate school,married,23/01/1980,0
44979973,0.0,-1,0.0,-1,651.9041776,0,711.5313776,0,747.3076976,0,806.9348976,0,M,university,married,08/01/1980,1
45428320,0.0298136,2,13.1776112,3,13.1776112,4,13.1776112,2,87.7414248,2,162.2754248,1,F,university,single,08/01/1978,0
29841079,184.248048,2,252.9385824,2,461.6337824,2,646.4781024,2,1020.6984096,2,1169.7664096,2,M,graduate school,single,03/01/1993,1
51244911,14.9068,-1,41.73904,0,41.73904,0,48.1787776,0,110.8171512,0,193.7287728,0,M,high school,single,03/01/1964,0
53185728,0.0,-2,0.0,-2,0.0,-2,0.0,2,0.0,2,0.4770176,2,M,high school,married,28/01/1974,1
18697846,64.09924,0,124.47178,0,422.60778,0,482.23498,0,534.1702712,0,584.8533912,0,F,university,single,03/01/1993,0
29516513,0.0,0,402.4836,0,596.272,0,834.7808,0,1073.2896,0,1252.1712,0,M,graduate school,single,06/01/1974,1
35525795,14.4297824,0,22.8670312,0,35.5676248,0,73.4607104,0,111.7413728,0,149.5450176,0,F,university,married,03/01/1989,0
11300389,982.2984928,-1,1691.1466464,-1,3659.4405184,-1,3659.4405184,-1,5806.9439404,-1,6872.1540544,0,F,high school,married,15/01/1976,0
43418036,298.136,0,549.8522248,0,847.9882248,0,3233.0762248,0,3594.9835152,2,3594.9835152,2,M,graduate school,married,30/01/1978,1
34987489,83.47808,2,169.93752,2,253.4156,2,405.46496,2,506.8312,2,563.47704,2,F,university,single,16/01/1992,0
13633661,24.149016,-2,46.807352,-2,67.676872,-2,127.304072,-2,127.304072,-2,173.515152,-2,M,university,married,31/01/1974,0
14708269,149.068,2,298.136,2,447.204,2,581.3652,2,760.2468,3,849.6876,4,F,graduate school,married,04/01/1969,1
51929526,86.45944,0,378.9904832,-1,2521.6044742,-1,2541.8777222,-2,2541.8777222,0,2541.8777222,0,F,university,single,22/01/1992,0
36252193,149.068,0,298.136,0,387.5768,0,477.0176,0,566.4584,0,715.5264,0,F,university,married,17/01/1989,0
55028152,59.6272,-2,119.2544,-1,149.068,-1,161.291576,-1,161.291576,-1,196.471624,-1,M,,single,21/01/1988,0
