,SHOP_JUL,PAY_JUL,SHOP_AUG,PAY_AUG,SHOP_SEP,PAY_SEP,SHOP_OCT,PAY_OCT,SHOP_NOV,PAY_NOV,SHOP_DEC,PAY_DEC,SEX,EDUCATION,MARRIAGE,BIRTH_DATE,DEFAULT PAYMENT JAN
46730642,380.3022816,0,150.3201712,0,5.4260752,0,41.0533272,2,34.0173176,2,7.602468,2,M,university,single,24/01/1994,1
13673924,2484.21822,0,23.10554,0,53.396158,2,62.370051,2,52.889326,2,50.325357,1,F,high school,married,20/01/1958,0
16303077,256.8739776,0,16.0099032,2,20.273248,2,15.7117672,2,53.068208,0,48.8048632,0,F,high school,single,28/01/1962,0
17507873,323.924764,0,5.4857024,0,14.2210872,2,13.8931376,0,4.2335312,0,53.4557848,0,M,university,single,01/01/1994,0
35350659,1232.9116144,0,25.6098824,0,24.476966,0,20.0943656,0,28.7403104,0,27.696835,0,M,high school,married,26/01/1982,0
33327740,117.7935336,0,6.5291784,0,6.1416016,0,102.1712072,0,3.2198688,0,5.7540248,0,M,university,single,23/01/1994,0
37153557,6230.29706,0,105.83828,0,99.577424,0,145.967386,0,97.937676,0,137.8879,0,F,university,married,10/01/1984,0
35682819,270.3199112,-2,28.919192,-2,108.5811312,-2,30.708008,-2,56.64584,-2,33.391232,-2,M,university,married,05/01/1968,0
22830059,194.9213168,-1,439.2437688,0,531.4870472,0,302.9359896,0,519.8597436,0,145.2220456,0,M,university,single,28/01/1994,0
58275848,-14.757732,2,4.47204,3,0.0,-1,0.0,-2,0.0,-2,0.0,1,F,high school,married,27/01/1977,0
47179081,257.589504,0,4.4124128,0,8.7055712,0,8.7651984,0,8.645944,0,8.0198584,0,M,university,single,27/01/1992,0
23138056,425.4698856,-1,0.0,-2,0.0,0,2010.92732,0,502.806364,0,170.205842,0,M,university,single,26/01/1962,0
28616704,523.4373752,0,9.1825888,0,8.645944,0,8.8248256,0,8.4670624,0,7.6919088,2,M,high school,married,18/01/1982,0
14984913,855.0838616,0,17.0235656,0,45.0483496,0,126.8270544,0,65.291784,0,14.8471728,0,M,graduate school,married,21/01/1979,1
27747208,14.3701552,-2,9.4210976,-2,0.0,-2,9.4210976,-2,18.8421952,-2,0.0,-2,F,graduate school,single,01/01/1977,0
56036716,0.0,0,76.3526296,0,56.64584,0,21.763928,2,176.347444,2,6.4695512,2,F,graduate school,single,09/01/1994,1
45674314,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,1,M,university,married,23/01/1974,0
31353338,439.3630232,0,12.1043216,0,11.5676768,0,16.1291576,0,15.801208,0,15.055868,0,F,high school,married,09/01/1963,0
44176526,2034.539691,0,31.7812978,0,32.0198064,0,58.3154014,0,55.691805,0,55.0955332,0,M,graduate school,single,31/01/1983,0
25718125,688.4258376,0,729.8667414,0,-370.940811,0,270.0814024,0,179.9548898,2,32.109247,2,M,graduate school,single,24/01/1980,1
27874748,0.0,0,573.315528,0,5.96272,0,35.0906072,0,234.0963872,2,18.9614496,1,M,university,single,15/01/1982,0
23425314,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-1,93.465636,-1,F,graduate school,married,23/01/1979,0
53012372,2476.705193,0,45.793689,0,40.785005,0,38.906748,0,35.925388,0,53.66448,0,F,graduate school,single,17/01/1987,0
36112762,4.024836,-2,7.3937728,-2,14.0422056,-2,14.0422056,-2,55.006092,-2,37.1477456,-2,F,graduate school,single,29/01/1983,0
26882469,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,0,195.428148,0,F,graduate school,married,06/01/1978,0
42504404,1913.5262892,0,139.8555972,0,78.946413,0,136.6953556,0,35.895575,0,128.7947516,0,F,university,married,09/01/1985,0
15259008,0.0,-2,0.0,-2,0.0,-2,0.0,2,73.78866,2,80.1389568,1,F,university,married,01/01/1969,1
14225769,0.0,-2,0.0,-2,0.0,-2,0.0,0,4864.536044,0,117.8233476,0,M,university,single,29/01/1988,0
18434214,3755.321056,0,63.413527,0,59.2694372,0,103.810955,0,2506.6976742,2,152.675446,1,M,graduate school,married,29/01/1973,1
54719570,1069.384018,2,22.27076,2,21.376351,2,26.027273,2,25.75895,2,24.8049152,3,F,graduate school,single,20/01/1989,1
48965302,586.1651896,0,9.3018432,0,8.8546392,0,8.9142664,0,30.7378216,0,8.5863168,0,M,university,single,28/01/1989,0
12194391,131.0009584,0,2.2956472,-1,8.6757576,-1,17.3515152,-1,0.0,-1,17.3515152,-1,M,graduate school,single,30/01/1964,0
40465954,43.1402792,-1,32.496824,-1,18.6036864,-1,14.9068,2,0.0,-1,0.0,1,F,other,single,09/01/1990,0
42811697,596.272,0,4.97379915032e-14,0,0.0,0,17.88816,2,22.2707592,0,17.3217016,0,F,university,single,,0
19482763,749.6033448,0,36.5514736,0,21.2272832,0,7.602468,0,7.6919088,0,6.6782464,0,F,university,single,25/01/1993,0
11640981,840.3261296,0,33.5403,0,1179.6943388,0,353.4402272,0,260.898814,0,51.696782,2,F,graduate school,single,21/01/1966,1
44106552,3723.808081,0,58.852046,0,1203.485591,2,128.5860572,0,115.169937,0,310.06144,0,M,university,married,02/01/1967,0
17542728,1673.1690454,0,60.1936584,0,93.614704,0,577.2509234,0,163.5574094,0,59.776268,0,F,graduate school,single,12/01/1991,0
58877422,29.8136,-2,171.5176408,-2,115.7363952,-2,155.328856,-2,92.1836512,-2,210.782152,-2,F,high school,,09/01/1979,0
14817300,40.2781736,0,0.0,-1,0.0,-2,0.0,0,88.3376968,0,310.955848,0,F,university,single,25/01/1991,0
34759410,2424.799715,0,58.434656,0,57.003603,0,956.837679,0,518.637385,0,961.548228,0,F,university,married,21/01/1980,0
57651201,3110.393261,0,306.75213,0,191.284058,0,193.7585866,0,197.872863,0,195.69647,0,F,graduate school,single,25/01/1985,0
34314186,214.568479,-1,1025.91579,0,438.2301066,-1,709.8021888,-1,786.3933272,-1,619.1092176,-1,M,graduate school,single,14/01/1987,0
31011514,800.6740416,0,29.3962096,0,28.7104968,0,33.3614184,0,34.3750808,0,45.1377904,0,F,high school,single,09/01/1965,1
57180533,3113.7920114,0,59.120369,0,69.137738,-1,3368.3405278,-1,71.4333856,-1,9015.513386,0,M,other,married,03/01/1964,0
14307770,515.8050936,0,242.831772,0,13.117984,0,20.1838072,0,22.3602,0,19.3192128,0,M,university,married,26/01/1977,0
50058832,3450.983827,0,56.258263,0,52.1738,0,681.956287,0,1422.824246,0,136.546288,0,F,graduate school,single,11/01/1983,0
19290751,-42.7527024,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-1,37.0583048,-1,F,university,single,21/01/1988,0
38095649,776.4057712,0,13.1477976,0,802.9995024,0,574.0310548,0,64.457003,0,221.8131838,0,F,high school,single,18/01/1973,1
40622577,4840.685164,0,259.914965,0,82.822181,0,77.992377,0,126.111528,0,430.299689,0,M,graduate school,married,10/01/1968,0
39360422,560.8832568,0,-278.4292104,0,18.2459232,0,19.5577216,0,18.8720088,0,58.1961472,0,M,university,married,10/01/1983,0
51888682,0.0,-2,0.0,-2,0.0,-2,0.0,0,1074.03494,0,340.113549,0,F,university,single,18/01/1975,0
42708913,1849.456862,0,1962.987052,0,1333.920091,0,568.277029,0,220.859149,0,175.2443408,0,M,university,single,09/01/1981,0
17978679,171.6368952,0,19.0508904,2,23.10554,0,18.4546184,0,23.2247944,0,22.9266584,0,F,university,married,04/01/1974,0
16465347,0.0,-1,158.2505888,-1,510.6175272,2,400.6053432,2,19.0508904,-1,559.3925768,-1,F,university,single,22/01/1995,0
56224628,444.6102168,0,90.8122256,0,414.259972,0,11.3589816,2,27.3688848,2,22.4794544,2,M,high school,married,17/01/1978,0
55132008,303.1446848,0,160.2182864,-1,326.2502248,-1,25.9080184,-1,0.0,-1,61.86322,-1,F,university,married,15/01/1984,0
39053772,1949.272795,2,37.416068,2,35.657066,2,49.281881,0,48.029709,0,45.04835,0,M,graduate school,single,29/01/1989,0
57778720,653.3948576,0,11.1204728,2,15.055868,2,19.7962304,2,183.3834536,2,24.2086432,1,M,graduate school,single,08/01/1982,0
57560665,1411.495078,2,52.978768,0,99.517796,0,65.351412,2,33.003655,2,33.719181,1,F,graduate school,single,26/01/1992,0
59399671,1118.665899,0,46.53903,0,563.715549,2,171.398386,0,63.3539,0,76.44207,0,M,graduate school,single,23/01/1988,0
26256621,1860.875471,0,164.779767,0,505.4001474,0,327.0551924,0,222.5585234,0,260.004406,0,F,high school,married,01/01/1975,0
43915012,20.0049256,0,34.5241488,0,20.12418,0,54.6483288,0,56.0197544,0,56.3178904,0,M,university,married,09/01/1985,0
53043634,2514.806974,2,47.254556,2,42.961397,2,69.107925,2,67.617245,2,67.945194,1,F,university,married,19/01/1987,0
15245631,3120.470258,0,337.340884,0,964.261264,0,539.3280246,0,441.360534,0,283.586963,-1,F,university,married,02/01/1979,0
48898147,-5.96272,-2,0.0,0,219.1597736,0,173.9325424,-1,206.6380616,-1,198.6778304,-1,M,university,single,30/01/1987,0
14293401,536.4659184,0,68.0942624,0,8.049672,0,8.1092992,0,18.7527544,0,32.347756,-1,M,graduate school,single,13/01/1990,0
31576423,871.0639512,0,18.931636,0,23.4334896,0,23.0459128,0,22.0918776,0,21.9726232,0,F,university,single,06/01/1990,0
25970922,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,F,university,married,10/01/1972,0
43904937,3476.951473,0,542.100689,0,624.207343,0,1554.332036,0,669.792337,0,106.315298,0,M,high school,married,02/01/1982,0
14811882,-305.1123824,-2,116.0941584,-2,359.6116432,-2,447.800272,-2,435.725764,-2,585.4198496,-2,M,university,single,08/01/1980,0
31246977,-654.5874016,0,825.9559744,0,451.0499544,0,131.6568576,0,130.4941272,0,131.9549936,0,F,university,single,03/01/1990,0
13319779,100.4122048,-1,460.62012,0,51.9949184,-1,669.4047608,0,688.097888,0,246.8267944,0,F,graduate school,single,01/01/1985,0
21343766,1849.874253,0,39.980037,0,34.524149,0,34.196199,0,32.70552,0,33.093096,-1,M,high school,married,10/01/1986,0
35431375,3058.607038,0,424.8437996,0,475.646174,0,832.634221,0,465.0623462,0,461.2462058,0,F,graduate school,single,19/01/1985,0
41541071,-95.9401648,0,68.1538896,0,183.5921488,-1,330.6030104,-1,1248.384873,-1,-2.00000158657e-07,1,F,high school,single,21/01/1984,0
27800416,-158.0418936,-2,19.676976,-2,69.3464336,-2,48.596168,-2,176.198376,-2,139.2593256,-2,F,graduate school,married,28/01/1965,0
28301376,0.0,-2,0.0,-2,0.0,0,633.688068,0,2330.1713484,0,105.450704,0,M,graduate school,single,18/01/1986,0
47570428,19.826044,-1,4.47204,-2,0.0,-2,0.0,-1,73.5501512,-1,627.7849752,-1,F,graduate school,married,11/01/1973,0
34946556,2207.816334,0,132.342571,0,38.578798,0,134.518963,0,39.920411,0,37.177559,0,F,high school,single,23/01/1984,0
43347686,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,1,F,graduate school,married,15/01/1969,0
18029305,2676.575567,0,45.376299,0,46.062012,0,1590.376679,0,689.737636,0,67.796126,0,M,graduate school,married,10/01/1976,0
11687785,501.8225152,0,426.483548,0,161.2319488,0,755.0890468,0,428.4512462,0,89.738936,0,F,graduate school,single,08/01/1987,0
56149821,3994.8435188,2,75.517848,2,73.132761,2,113.112799,2,111.05566,2,108.133927,1,M,graduate school,married,23/01/1969,1
47301543,68.7799752,0,0.5664584,0,250.9410712,0,92.8991776,0,2.4149016,0,95.4631472,0,F,university,single,27/01/1979,0
14255991,387.6066136,0,256.844164,0,372.371864,0,127.8705304,0,1005.9704912,0,98.5041344,0,M,high school,single,21/01/1989,0
42907956,6.7676872,-2,13.0881704,-2,65.4706656,-2,0.0,-2,7.0360096,-2,26.534104,-2,F,university,married,26/01/1963,0
58775458,-999.411499,-1,341.7234832,-1,534.3193392,-1,65.6197336,-1,131.17984,-1,118.50906,-1,M,graduate school,single,10/01/1985,0
37453623,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-1,66.186192,-1,M,graduate school,single,15/01/1981,0
22322639,324.6104768,0,8.0198584,0,51.2495784,0,108.9388944,0,7.155264,0,303.800584,0,M,university,married,03/01/1983,1
29415896,-315.6067696,-1,39.353952,2,16.5763616,0,116.27304,0,32.645892,0,433.4003032,0,F,graduate school,single,10/01/1983,1
20085436,284.272676,0,17.3813288,0,17.2620744,0,17.5005832,0,16.9341248,0,36.7601688,0,F,graduate school,married,19/01/1976,0
10492538,-66.7228368,-1,318.5285024,-1,662.9650232,-1,502.0013968,-1,341.8427376,-1,96.1190464,-1,F,graduate school,single,16/01/1983,0
58136883,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,1,M,university,married,08/01/1975,1
36208236,2669.599185,0,126.8568682,0,851.9534336,0,753.1809766,0,721.7574426,0,108.2829948,0,F,high school,married,28/01/1976,0
16123359,-578.6521624,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,M,university,married,13/01/1971,0
49625782,26.1763408,-1,57.5700616,0,0.0,2,0.0,2,0.0,-1,0.0,1,F,high school,married,25/01/1965,1
27268339,867.6950144,2,40.7551912,2,18.8421952,2,23.5229304,2,23.1949808,2,22.5390816,2,F,high school,married,07/01/1983,0
14814382,0.0,-2,0.0,0,647.402324,0,14.3403416,0,49.7290848,0,31.900552,0,F,high school,married,20/01/1975,0
21146704,3642.744902,2,416.257484,2,72.29798,2,110.31032,2,108.461876,2,106.374925,2,M,university,married,01/01/1978,0
36965860,8566.878333,0,2484.605797,0,1445.09501,0,1422.01927,0,5369.10141,0,509.1268536,0,M,graduate school,single,06/01/1972,0
22390048,49.6694576,-1,186.782204,-1,0.0,-1,34.9713528,-1,0.0,-1,59.6272,-1,F,graduate school,married,12/01/1947,1
46001887,0.0,-1,4.7105488,-1,64.9042072,-1,0.0,-2,0.0,-1,34.3750808,-1,F,high school,married,24/01/1975,0
18140855,10.8223368,-1,45.1974176,-1,219.0703328,-1,77.8433096,-2,150.7375616,-2,29.8136,-2,F,university,single,01/01/1992,0
12362097,5.515516,-1,4.919244,-1,4.919244,-1,4.919244,-1,4.919244,-1,4.919244,-1,F,graduate school,single,02/01/1984,0
14064181,413.5742592,0,7.602468,0,7.006196,0,185.1126424,0,52.6806312,0,41.440904,0,F,graduate school,single,28/01/1993,0
43553867,-927.4116552,0,2.9515464,-1,5.9030928,-1,157.26674,0,3.3093096,-1,0.0,1,F,graduate school,single,23/01/1989,0
30975124,0.0,-2,0.0,-2,0.0,-1,2350.3253424,-1,548.0335952,0,706.4034388,0,F,university,single,20/01/1989,0
20261861,-762.0654296,-1,87.2345936,-1,209.7684896,-1,66.0669376,-1,43.1700928,-1,77.6942416,-1,F,high school,married,27/01/1974,0
18418172,188.57102,0,405.4053328,0,571.1987622,0,-555.5168086,0,8.3179944,0,17.2322608,0,M,university,single,20/01/1994,0
52754718,-119.0755184,-1,451.228836,0,367.8700104,0,145.8183176,0,508.351694,0,948.4898696,0,F,graduate school,single,27/01/1977,0
41267590,1306.789715,0,1356.966004,0,1515.455102,0,191.7908884,0,96.268114,0,208.1585556,0,F,graduate school,married,04/01/1990,0
43434251,0.0,-2,0.0,-2,0.0,2,74.534,2,0.0,2,0.0,2,F,graduate school,married,02/01/1976,1
55746156,1120.66341,0,79.184922,0,133.773623,0,74.3849322,0,689.4096868,0,92.332719,0,F,university,single,13/01/1987,0
19085663,340.4414984,0,6.1416016,0,5.5453296,-1,1532.41904,-1,0.0,-2,0.0,1,F,university,single,30/01/1992,0
50161819,-1.49068,-1,25.7589504,-1,17.6496512,2,100.6209,-1,123.1897952,-1,87.9203064,-1,F,university,married,28/01/1977,0
27310672,3625.900218,2,62.876883,3,65.351411,2,102.499157,2,100.322764,2,97.490472,2,M,graduate school,married,01/01/1964,0
41703556,5761.746522,0,73.490524,0,59.597387,0,123.666813,0,229.773415,0,193.132501,0,F,graduate school,single,07/01/1988,0
30735244,1872.741284,0,189.286546,0,167.3139234,0,103.810955,0,165.7934302,0,121.073029,0,M,university,married,31/01/1977,1
10580182,-68.6309072,-1,48.0595232,-1,135.950016,-1,74.534,-1,17.8583464,-1,120.1786216,-1,M,university,married,02/01/1981,0
17341734,1387.286435,0,19.557722,0,50.235916,0,24.566406,0,21.346538,0,21.28691,0,M,high school,married,03/01/1977,1
43752591,861.9708032,0,14.0720192,0,14.1018328,2,22.8670312,2,22.0918776,2,21.7341144,1,F,university,married,28/01/1977,1
37664751,47.70176,-1,618.2744368,0,186.4244408,0,125.366188,0,113.5003752,2,26.235968,1,F,university,married,31/01/1993,0
21624785,817.63798,0,48.4471,0,44.4520776,0,24.894356,0,13.117984,0,42.8123296,2,F,high school,married,,0
56309208,2764.46606,0,416.764314,0,111.592305,0,722.741291,0,388.799158,0,120.476758,0,F,university,married,03/01/1989,0
22082669,41.6794128,-1,12.4024576,0,12.4024576,-1,0.0,-2,24.8049152,-2,12.4024576,1,M,graduate school,married,27/01/1965,1
30586795,1808.19484,0,54.976278,0,92.4817876,0,106.613434,0,51.9352908,0,64.5464436,0,F,university,married,24/01/1984,0
28986525,79.75138,-1,37.117932,0,37.117932,0,37.117932,-1,37.117932,-1,37.117932,-1,F,university,married,08/01/1981,0
26703442,0.0,-1,7.8707904,-1,7.8707904,-1,7.8707904,2,7.8707904,-1,7.8707904,-1,M,graduate school,married,31/01/1953,0
19677878,267.6068736,-1,690.7512984,-1,34.3154536,-1,55.8706864,-1,1630.326902,-1,369.3606906,-1,M,graduate school,single,26/01/1981,0
18147124,28.5912424,-1,66.7526504,-1,54.4694472,-1,194.8020624,-1,65.738988,-1,75.2197128,-1,M,graduate school,single,09/01/1985,0
12127861,411.278612,0,99.1898472,0,6.2906696,0,5.9925336,2,16.6658024,2,35.6570656,2,F,graduate school,single,11/01/1992,1
27364607,-12.372644,-1,18.484432,-1,48.3874728,-1,40.6061232,-1,0.0,-1,166.7176512,-1,F,university,married,13/01/1975,0
54922116,-234.5734048,-1,1054.715727,-1,-22.419827,0,289.6689376,-1,64.09924,-1,396.222744,-1,F,university,single,25/01/1989,0
57849014,1303.838169,0,11.5974898,0,23.4036762,2,35.150235,3,29.604904,4,30.290618,5,M,university,single,08/01/1984,0
24131070,1677.76034,0,42.5738212,0,21.316724,0,201.569749,0,25.4608146,0,33.301791,0,M,graduate school,married,18/01/1970,0
41300207,-705.8966072,-2,10.285692,-2,171.3983864,-2,140.8394464,-2,104.1389048,-2,253.5050408,-2,F,university,single,19/01/1976,0
41961355,2570.767101,0,58.9713008,0,60.700489,2,101.753817,2,101.753817,0,98.235812,0,M,university,single,09/01/1989,0
14627721,1436.5086892,0,27.5179528,0,25.192492,0,21.078215,0,94.240789,0,49.699272,0,M,university,single,10/01/1979,0
56510236,443.4474864,0,127.0655632,0,128.5562432,0,130.583568,0,141.316464,2,142.509008,1,F,graduate school,single,15/01/1979,0
53539996,308.8987096,-1,554.4733328,0,127.304072,0,1150.7751468,0,58.7327916,0,32.705519,2,F,university,married,04/01/1980,0
46103696,-117.614652,-1,212.869104,-1,74.8917632,-1,192.6554832,-1,142.6282624,-1,184.7846928,-1,,university,married,,1
39880494,-12.9391024,-2,0.0,-2,0.0,-2,0.0,-2,0.0,-2,32.79496,-2,F,graduate school,married,14/01/1958,0
47342166,3617.313902,2,64.278121,2,59.5973868,2,101.753817,0,52.3526814,0,97.2519634,0,M,university,other,22/01/1975,0
56066118,20.12418,-1,11.627304,-1,36.670728,-1,257.5298768,0,28.8595648,0,60.2532856,0,M,university,married,24/01/1968,0
45996090,-165.614548,-1,108.5513176,-1,81.9874,-1,178.2257008,-1,70.8967408,2,6.558992,1,F,graduate school,single,05/01/1991,1
30319611,789.4343144,0,43.7067376,0,65.3514112,0,25.3117464,0,229.266584,0,145.9077584,0,F,university,married,18/01/1982,0
44086116,-20.4521296,-1,84.4321152,-1,150.856816,-1,215.4330736,-1,98.7426432,-1,132.7599608,-1,M,graduate school,married,11/01/1971,0
53674798,2288.670818,0,131.328908,0,97.9973026,0,248.9733742,0,43.915432,0,40.2185466,0,F,high school,single,23/01/1989,0
28289683,3647.216942,2,63.920359,2,105.09294,2,104.049464,2,100.919036,2,101.753817,1,F,university,single,31/01/1974,0
26479436,0.0,-2,0.0,-2,0.0,-2,0.0,0,753.4492992,0,818.1149978,0,F,graduate school,married,23/01/1980,0
44979973,0.0,-1,651.9041776,-1,247.2143712,0,17.9477872,0,22.0918776,0,2.6534104,0,M,university,married,08/01/1980,1
45428320,412.8289192,2,9.3614704,3,13.9825784,4,16.2185984,2,14.7875456,2,13.5353744,1,F,university,single,08/01/1978,0
29841079,4944.496119,2,87.6221704,2,84.22342,2,125.366188,2,123.6668132,2,118.837009,2,M,graduate school,single,03/01/1993,1
51244911,11.92544,-1,158.2804024,0,163.4977824,0,52.1738,0,1878.9425124,0,102.4395296,0,M,high school,single,03/01/1964,0
53185728,0.0,-2,0.0,-2,0.0,-2,0.0,2,121.5798608,2,268.0540776,2,M,high school,married,28/01/1974,1
18697846,1607.340617,0,26.176341,0,23.493116,0,22.121692,0,20.8695192,0,21.018588,0,F,university,single,03/01/1993,0
29516513,5487.699911,0,99.577424,0,139.140071,0,137.947528,0,78.67809,0,124.441966,0,M,graduate school,single,06/01/1974,1
35525795,218.682756,0,15.4434448,0,15.4732584,0,15.8608352,0,15.3838176,0,15.055868,0,F,university,married,03/01/1989,0
11300389,-276.9981576,-1,1962.0330164,-1,-4.0000008994e-07,-1,2146.5792004,-1,1070.606376,-1,905.0812684,0,F,high school,married,15/01/1976,0
43418036,6750.186617,0,411.2786118,0,351.591785,0,3989.894461,0,290.0565144,2,865.786944,2,M,graduate school,married,30/01/1978,1
34987489,2156.507129,2,40.814818,2,43.676924,2,52.829699,2,51.219765,2,49.52039,2,F,university,single,16/01/1992,0
13633661,-1.49068,-2,20.86952,-2,59.6272,-2,0.0,-2,46.21108,-2,21.763928,-2,M,university,married,31/01/1974,0
14708269,3895.266094,2,62.727815,2,103.27431,2,102.737666,2,100.233323,3,101.306613,4,F,graduate school,married,04/01/1969,1
51929526,1957.471535,0,313.4005632,-1,98.086744,-1,0.0,-2,0.0,0,1078.50698,0,F,university,single,22/01/1992,0
36252193,2356.466944,0,39.055816,0,44.899282,0,41.262022,0,36.342778,0,41.917922,0,F,university,married,17/01/1989,0
55028152,-119.2544,-2,119.2544,-1,42.037176,-1,0.0,-1,35.180048,-1,23.254608,-1,M,,single,21/01/1988,0
